"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 75.7437 75.7437 147.094 147.094
3 57.8313 57.8313 129.181 129.181
20 37.1572 37.1572 108.507 108.507
163 37.0155 37.0155 108.366 108.366
193 30.4032 30.4032 101.753 101.753
798 30.2519 30.2519 101.602 101.602
1100 27.0682 27.0682 98.4182 98.4182
1398 25.2884 25.2884 96.6384 96.6384
2150 59.1182 25.2884 130.468 96.6384
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 45.5646 45.5646 -309.655 -309.655
11 38.7785 38.7785 -316.441 -316.441
135 30.6775 30.6775 -324.542 -324.542
504 25.2169 25.2169 -330.003 -330.003
2007 24.9249 24.9249 -330.295 -330.295
2150 75.3599 24.9249 -279.86 -330.295
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 81.1704 81.1704 180.34 180.34
2 63.4751 63.4751 162.645 162.645
4 56.1811 56.1811 155.351 155.351
12 51.7015 51.7015 150.871 150.871
23 27.5585 27.5585 126.729 126.729
143 27.1279 27.1279 126.298 126.298
148 26.1442 26.1442 125.314 125.314
407 26.0273 26.0273 125.197 125.197
2150 44.9146 26.0273 144.085 125.197
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 89.9757 89.9757 -427.934 -427.934
3 81.9791 81.9791 -435.931 -435.931
4 61.6381 61.6381 -456.272 -456.272
8 53.7916 53.7916 -464.118 -464.118
10 51.0464 51.0464 -466.864 -466.864
17 45.1512 45.1512 -472.759 -472.759
18 33.7302 33.7302 -484.18 -484.18
85 33.2675 33.2675 -484.642 -484.642
133 32.7684 32.7684 -485.142 -485.142
238 27.7984 27.7984 -490.112 -490.112
2150 74.5821 27.7984 -443.328 -490.112
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.1181 58.1181 0.908109 0.908109
8 45.8644 45.8644 -11.3456 -11.3456
62 37.4619 37.4619 -19.7481 -19.7481
665 33.9336 33.9336 -23.2764 -23.2764
1191 29.5554 29.5554 -27.6546 -27.6546
1367 27.0677 27.0677 -30.1423 -30.1423
1862 26.4651 26.4651 -30.7449 -30.7449
2150 92.9401 26.4651 35.7301 -30.7449
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 50.6398 50.6398 22.8598 22.8598
8 37.6766 37.6766 9.8966 9.8966
71 32.2588 32.2588 4.47879 4.47879
336 24.4801 24.4801 -3.29994 -3.29994
2150 78.6429 24.4801 50.8629 -3.29994
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 67.9274 67.9274 19.2174 19.2174
3 59.7978 59.7978 11.0878 11.0878
6 43.7831 43.7831 -4.92691 -4.92691
14 33.9049 33.9049 -14.8051 -14.8051
276 32.6966 32.6966 -16.0134 -16.0134
1299 28.0645 28.0645 -20.6455 -20.6455
2150 58.4358 28.0645 9.72582 -20.6455
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 42.9708 42.9708 -123.819 -123.819
17 42.6394 42.6394 -124.151 -124.151
20 41.8735 41.8735 -124.917 -124.917
64 30.7468 30.7468 -136.043 -136.043
414 30.666 30.666 -136.124 -136.124
603 29.534 29.534 -137.256 -137.256
694 29.1788 29.1788 -137.611 -137.611
1211 25.3282 25.3282 -141.462 -141.462
1217 18.7877 18.7877 -148.002 -148.002
2150 97.0165 18.7877 -69.7735 -148.002
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 51.9939 51.9939 1051.99 1051.99
8 47.7368 47.7368 1047.74 1047.74
17 43.1546 43.1546 1043.15 1043.15
34 28.835 28.835 1028.83 1028.83
336 23.1695 23.1695 1023.17 1023.17
2150 73.6649 23.1695 1073.66 1023.17
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 71.6007 71.6007 53.1307 53.1307
4 41.1491 41.1491 22.6791 22.6791
179 34.0189 34.0189 15.5489 15.5489
504 27.1593 27.1593 8.68932 8.68932
1170 24.715 24.715 6.24504 6.24504
2150 72.0966 24.715 53.6266 6.24504
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 80.9792 80.9792 21.2692 21.2692
3 52.477 52.477 -7.23302 -7.23302
17 47.0572 47.0572 -12.6528 -12.6528
60 37.0833 37.0833 -22.6267 -22.6267
86 35.2493 35.2493 -24.4607 -24.4607
344 32.8431 32.8431 -26.8669 -26.8669
1562 24.695 24.695 -35.015 -35.015
2150 68.7818 24.695 9.07178 -35.015
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 136.446 136.446 39.6064 39.6064
2 47.9584 47.9584 -48.8816 -48.8816
8 39.8112 39.8112 -57.0288 -57.0288
300 34.8595 34.8595 -61.9805 -61.9805
306 34.7504 34.7504 -62.0896 -62.0896
526 23.906 23.906 -72.934 -72.934
2150 76.3612 23.906 -20.4788 -72.934
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66.991 66.991 99.061 99.061
2 58.3653 58.3653 90.4353 90.4353
15 55.2521 55.2521 87.3221 87.3221
20 55.2027 55.2027 87.2727 87.2727
24 49.7826 49.7826 81.8526 81.8526
35 48.4299 48.4299 80.4999 80.4999
59 41.6241 41.6241 73.6941 73.6941
78 27.003 27.003 59.073 59.073
272 26.0074 26.0074 58.0774 58.0774
2150 96.1728 26.0074 128.243 58.0774
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 102.65 102.65 128.89 128.89
3 62.4659 62.4659 88.7059 88.7059
7 59.2485 59.2485 85.4885 85.4885
10 55.6655 55.6655 81.9055 81.9055
11 35.6694 35.6694 61.9094 61.9094
47 35.36 35.36 61.6 61.6
591 33.9502 33.9502 60.1902 60.1902
625 27.6101 27.6101 53.8501 53.8501
1151 27.22 27.22 53.46 53.46
2150 62.8601 27.22 89.1001 53.46
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.0483 77.0483 60.9483 60.9483
2 74.8288 74.8288 58.7288 58.7288
4 42.5426 42.5426 26.4426 26.4426
165 38.9364 38.9364 22.8364 22.8364
252 35.0803 35.0803 18.9803 18.9803
580 26.5638 26.5638 10.4638 10.4638
1917 21.475 21.475 5.37499 5.37499
2150 91.9349 21.475 75.8349 5.37499
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 53.7228 53.7228 81.0928 81.0928
8 52.3004 52.3004 79.6704 79.6704
29 35.1171 35.1171 62.4871 62.4871
307 25.8004 25.8004 53.1704 53.1704
2150 101.606 25.8004 128.976 53.1704
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 57.8282 57.8282 -75.3618 -75.3618
2 41.5253 41.5253 -91.6647 -91.6647
35 33.9772 33.9772 -99.2128 -99.2128
396 32.6621 32.6621 -100.528 -100.528
588 31.0822 31.0822 -102.108 -102.108
792 30.3164 30.3164 -102.874 -102.874
923 29.4356 29.4356 -103.754 -103.754
1259 23.4549 23.4549 -109.735 -109.735
1588 20.302 20.302 -112.888 -112.888
2150 62.8491 20.302 -70.3409 -112.888
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 101.984 101.984 112.904 112.904
2 81.7526 81.7526 92.6726 92.6726
4 78.2725 78.2725 89.1925 89.1925
7 70.869 70.869 81.789 81.789
10 69.2509 69.2509 80.1709 80.1709
12 58.6166 58.6166 69.5366 69.5366
16 48.8931 48.8931 59.8131 59.8131
38 38.5434 38.5434 49.4634 49.4634
47 38.2612 38.2612 49.1812 49.1812
48 35.8362 35.8362 46.7562 46.7562
