"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 313.874 313.874 296.934 296.934
2 81.3317 81.3317 64.3917 64.3917
34 49.0161 49.0161 32.0761 32.0761
51 44.5817 44.5817 27.6417 27.6417
96 44.3496 44.3496 27.4096 27.4096
275 41.399 41.399 24.459 24.459
416 37.1521 37.1521 20.2121 20.2121
520 31.9664 31.9664 15.0264 15.0264
668 24.6247 24.6247 7.68475 7.68475
1132 21.5409 21.5409 4.60095 4.60095
1345 20.4395 20.4395 3.49946 3.49946
1467 19.9744 19.9744 3.03437 3.03437
1842 19.5804 19.5804 2.64043 2.64043
2150 33.0777 19.5804 16.1377 2.64043
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 102.599 102.599 121.409 121.409
9 67.0814 67.0814 85.8914 85.8914
43 64.3011 64.3011 83.1111 83.1111
89 55.9774 55.9774 74.7874 74.7874
207 55.5475 55.5475 74.3575 74.3575
294 48.315 48.315 67.125 67.125
361 44.5724 44.5724 63.3824 63.3824
367 42.3791 42.3791 61.1891 61.1891
404 40.3582 40.3582 59.1682 59.1682
452 32.9449 32.9449 51.7549 51.7549
472 32.6752 32.6752 51.4852 51.4852
503 30.0881 30.0881 48.8981 48.8981
806 27.5671 27.5671 46.3771 46.3771
1646 26.899 26.899 45.709 45.709
1858 25.8609 25.8609 44.6709 44.6709
2150 185.259 25.8609 204.069 44.6709
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 207.868 207.868 481.018 481.018
5 198.934 198.934 472.084 472.084
12 188.316 188.316 461.466 461.466
26 112.672 112.672 385.822 385.822
44 83.5498 83.5498 356.7 356.7
349 80.9443 80.9443 354.094 354.094
373 80.0789 80.0789 353.229 353.229
408 52.4316 52.4316 325.582 325.582
755 48.0456 48.0456 321.196 321.196
788 43.8471 43.8471 316.997 316.997
2150 93.9947 43.8471 367.145 316.997
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 100.594 100.594 137.774 137.774
2 82.2745 82.2745 119.454 119.454
4 81.8891 81.8891 119.069 119.069
8 74.9553 74.9553 112.135 112.135
