"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.9379 22.9379 29.8079 29.8079
2 15.7439 15.7439 22.6139 22.6139
4 9.10703 9.10703 15.977 15.977
11 4.16521 4.16521 11.0352 11.0352
1564 3.37236 3.37236 10.2424 10.2424
2150 5.26603 3.37236 12.136 10.2424
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.7727 17.7727 17.7827 17.7827
3 8.79055 8.79055 8.80055 8.80055
28 8.32885 8.32885 8.33885 8.33885
41 7.61298 7.61298 7.62298 7.62298
49 7.29076 7.29076 7.30076 7.30076
68 6.11694 6.11694 6.12694 6.12694
197 6.03674 6.03674 6.04674 6.04674
258 4.65301 4.65301 4.66301 4.66301
688 4.53863 4.53863 4.54863 4.54863
883 4.0189 4.0189 4.0289 4.0289
2150 15.0325 4.0189 15.0425 4.0289
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.9001 23.9001 -106.71 -106.71
2 14.8242 14.8242 -115.786 -115.786
3 12.4059 12.4059 -118.204 -118.204
5 11.5279 11.5279 -119.082 -119.082
10 9.28232 9.28232 -121.328 -121.328
23 8.04703 8.04703 -122.563 -122.563
34 5.55529 5.55529 -125.055 -125.055
307 5.54997 5.54997 -125.06 -125.06
330 4.52829 4.52829 -126.082 -126.082
478 4.34228 4.34228 -126.268 -126.268
2006 4.32559 4.32559 -126.284 -126.284
2150 13.5708 4.32559 -117.039 -126.284
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.7658 16.7658 -206.354 -206.354
3 15.4453 15.4453 -207.675 -207.675
5 15.3804 15.3804 -207.74 -207.74
7 9.07635 9.07635 -214.044 -214.044
10 6.52247 6.52247 -216.598 -216.598
140 5.31449 5.31449 -217.806 -217.806
171 5.01137 5.01137 -218.109 -218.109
173 4.81686 4.81686 -218.303 -218.303
318 4.57152 4.57152 -218.548 -218.548
798 4.46504 4.46504 -218.655 -218.655
1088 3.98222 3.98222 -219.138 -219.138
2150 9.83967 3.98222 -213.28 -219.138
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.5967 10.5967 -33.8333 -33.8333
5 9.27165 9.27165 -35.1584 -35.1584
9 8.44373 8.44373 -35.9863 -35.9863
46 5.48769 5.48769 -38.9423 -38.9423
129 4.95947 4.95947 -39.4705 -39.4705
345 4.7185 4.7185 -39.7115 -39.7115
947 4.55633 4.55633 -39.8737 -39.8737
978 4.29023 4.29023 -40.1398 -40.1398
2132 3.56061 3.56061 -40.8694 -40.8694
2150 11.1745 3.56061 -33.2555 -40.8694
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.8866 19.8866 105.277 105.277
2 11.7665 11.7665 97.1565 97.1565
3 9.92111 9.92111 95.3111 95.3111
6 7.78357 7.78357 93.1736 93.1736
17 6.80148 6.80148 92.1915 92.1915
63 6.73325 6.73325 92.1232 92.1232
66 3.86018 3.86018 89.2502 89.2502
1792 3.62082 3.62082 89.0108 89.0108
2150 16.4013 3.62082 101.791 89.0108
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.3367 10.3367 -976.953 -976.953
7 8.52537 8.52537 -978.765 -978.765
11 6.28615 6.28615 -981.004 -981.004
43 6.11658 6.11658 -981.173 -981.173
69 4.99065 4.99065 -982.299 -982.299
742 4.19208 4.19208 -983.098 -983.098
2150 13.0987 4.19208 -974.191 -983.098
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.9348 16.9348 -134.825 -134.825
4 8.34265 8.34265 -143.417 -143.417
38 7.02103 7.02103 -144.739 -144.739
55 6.88829 6.88829 -144.872 -144.872
184 3.7947 3.7947 -147.965 -147.965
2150 16.7007 3.7947 -135.059 -147.965
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.7389 17.7389 84.5389 84.5389
2 12.5015 12.5015 79.3015 79.3015
3 10.9244 10.9244 77.7244 77.7244
7 7.66246 7.66246 74.4625 74.4625
22 7.1735 7.1735 73.9735 73.9735
32 5.13438 5.13438 71.9344 71.9344
269 5.09535 5.09535 71.8954 71.8954
369 4.57652 4.57652 71.3765 71.3765
980 4.40376 4.40376 71.2038 71.2038
1444 3.6812 3.6812 70.4812 70.4812
2150 10.8725 3.6812 77.6725 70.4812
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.8466 15.8466 112.097 112.097
2 8.06069 8.06069 104.311 104.311
15 7.9259 7.9259 104.176 104.176
22 7.75246 7.75246 104.002 104.002
85 7.7376 7.7376 103.988 103.988
87 4.668 4.668 100.918 100.918
883 3.83962 3.83962 100.09 100.09
2150 12.7653 3.83962 109.015 100.09
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.14259 8.14259 154.863 154.863
17 7.61723 7.61723 154.337 154.337
20 6.16885 6.16885 152.889 152.889
25 5.53418 5.53418 152.254 152.254
417 4.43027 4.43027 151.15 151.15
1496 4.08833 4.08833 150.808 150.808
2150 10.7249 4.08833 157.445 150.808
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18.9752 18.9752 -573.005 -573.005
2 15.3251 15.3251 -576.655 -576.655
4 9.17858 9.17858 -582.801 -582.801
10 6.77842 6.77842 -585.202 -585.202
34 5.59118 5.59118 -586.389 -586.389
102 5.18549 5.18549 -586.795 -586.795
272 4.47168 4.47168 -587.508 -587.508
358 4.35421 4.35421 -587.626 -587.626
489 3.92942 3.92942 -588.051 -588.051
1568 3.8647 3.8647 -588.115 -588.115
1758 2.66174 2.66174 -589.318 -589.318
2150 7.11798 2.66174 -584.862 -589.318
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.6685 9.6685 83.9585 83.9585
4 9.10684 9.10684 83.3968 83.3968
29 8.22156 8.22156 82.5116 82.5116
31 7.86626 7.86626 82.1563 82.1563
42 6.34672 6.34672 80.6367 80.6367
174 6.04807 6.04807 80.3381 80.3381
222 5.29604 5.29604 79.586 79.586
231 3.53057 3.53057 77.8206 77.8206
1212 3.45454 3.45454 77.7445 77.7445
2150 9.02636 3.45454 83.3164 77.7445
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 11.3417 11.3417 7.85169 7.85169
3 8.11452 8.11452 4.62452 4.62452
27 7.99831 7.99831 4.50831 4.50831
52 6.59926 6.59926 3.10926 3.10926
72 6.26703 6.26703 2.77703 2.77703
96 5.84153 5.84153 2.35153 2.35153
251 5.37582 5.37582 1.88582 1.88582
376 4.9041 4.9041 1.4141 1.4141
618 4.77383 4.77383 1.28383 1.28383
778 4.603 4.603 1.113 1.113
1220 4.32524 4.32524 0.835235 0.835235
1366 3.7243 3.7243 0.2343 0.2343
1699 2.52188 2.52188 -0.968125 -0.968125
2150 12.057 2.52188 8.56698 -0.968125
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.1189 17.1189 4.28893 4.28893
4 9.75499 9.75499 -3.07501 -3.07501
7 8.43216 8.43216 -4.39784 -4.39784
17 7.73672 7.73672 -5.09328 -5.09328
71 6.68201 6.68201 -6.14799 -6.14799
145 6.0012 6.0012 -6.8288 -6.8288
239 4.36871 4.36871 -8.46129 -8.46129
276 3.65443 3.65443 -9.17557 -9.17557
841 3.25506 3.25506 -9.57494 -9.57494
2150 5.59241 3.25506 -7.23759 -9.57494
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.1581 16.1581 -180.962 -180.962
2 10.8831 10.8831 -186.237 -186.237
4 5.51643 5.51643 -191.604 -191.604
18 5.38845 5.38845 -191.732 -191.732
47 5.20988 5.20988 -191.91 -191.91
89 4.99636 4.99636 -192.124 -192.124
347 4.63959 4.63959 -192.48 -192.48
873 3.91852 3.91852 -193.201 -193.201
1960 2.58706 2.58706 -194.533 -194.533
2150 33.8977 2.58706 -163.222 -194.533
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.2175 16.2175 -463.152 -463.152
3 2.81297 2.81297 -476.557 -476.557
1199 2.72054 2.72054 -476.649 -476.649
2150 22.4209 2.72054 -456.949 -476.649
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.6387 15.6387 868.049 868.049
2 6.55653 6.55653 858.967 858.967
12 5.68639 5.68639 858.096 858.096
151 5.23149 5.23149 857.641 857.641
208 4.45198 4.45198 856.862 856.862
968 3.88792 3.88792 856.298 856.298
2150 13.2161 3.88792 865.626 856.298
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.9384 19.9384 -980.062 -980.062
2 13.0502 13.0502 -986.95 -986.95
3 9.66386 9.66386 -990.336 -990.336
7 9.43525 9.43525 -990.565 -990.565
17 8.78308 8.78308 -991.217 -991.217
34 6.60421 6.60421 -993.396 -993.396
140 4.86523 4.86523 -995.135 -995.135
443 3.94509 3.94509 -996.055 -996.055
2150 12.8317 3.94509 -987.168 -996.055
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.15758 9.15758 83.3276 83.3276
9 5.66891 5.66891 79.8389 79.8389
133 5.0231 5.0231 79.1931 79.1931
563 3.72791 3.72791 77.8979 77.8979
1692 3.67574 3.67574 77.8457 77.8457
1908 3.16822 3.16822 77.3382 77.3382
2150 19.9515 3.16822 94.1215 77.3382
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18.2559 18.2559 -493.674 -493.674
2 6.10469 6.10469 -505.825 -505.825
81 3.61597 3.61597 -508.314 -508.314
98 3.50293 3.50293 -508.427 -508.427
591 2.71694 2.71694 -509.213 -509.213
1799 2.37915 2.37915 -509.551 -509.551
2150 15.5287 2.37915 -496.401 -509.551
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.88727 8.88727 -555.173 -555.173
22 8.59315 8.59315 -555.467 -555.467
28 7.80689 7.80689 -556.253 -556.253
43 6.75831 6.75831 -557.302 -557.302
98 4.2496 4.2496 -559.81 -559.81
2150 12.5308 4.2496 -551.529 -559.81
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.57825 6.57825 -27.7918 -27.7918
46 5.44527 5.44527 -28.9247 -28.9247
116 4.1133 4.1133 -30.2567 -30.2567
291 3.93929 3.93929 -30.4307 -30.4307
792 3.50128 3.50128 -30.8687 -30.8687
1720 2.37913 2.37913 -31.9909 -31.9909
2150 15.7778 2.37913 -18.5922 -31.9909
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.1325 16.1325 66.1725 66.1725
2 13.7417 13.7417 63.7817 63.7817
4 13.0485 13.0485 63.0885 63.0885
9 11.1512 11.1512 61.1912 61.1912
24 8.04562 8.04562 58.0856 58.0856
45 7.7558 7.7558 57.7958 57.7958
82 6.92018 6.92018 56.9602 56.9602
109 6.35179 6.35179 56.3918 56.3918
117 5.74568 5.74568 55.7857 55.7857
303 3.86931 3.86931 53.9093 53.9093
872 3.40929 3.40929 53.4493 53.4493
2150 28.5276 3.40929 78.5676 53.4493
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 32.1281 32.1281 -302.042 -302.042
