"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 159.857 159.857 262.467 262.467
3 87.622 87.622 190.232 190.232
9 73.8067 73.8067 176.417 176.417
15 71.3487 71.3487 173.959 173.959
23 64.1727 64.1727 166.783 166.783
79 60.8127 60.8127 163.423 163.423
90 44.8542 44.8542 147.464 147.464
105 29.7954 29.7954 132.405 132.405
350 24.1536 24.1536 126.764 126.764
750 113.217 24.1536 215.827 126.764
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 160.777 160.777 254.077 254.077
2 88.5697 88.5697 181.87 181.87
5 70.8946 70.8946 164.195 164.195
45 59.578 59.578 152.878 152.878
97 43.6727 43.6727 136.973 136.973
282 39.2376 39.2376 132.538 132.538
587 37.34 37.34 130.64 130.64
615 33.7694 33.7694 127.069 127.069
669 32.6152 32.6152 125.915 125.915
750 82.4402 32.6152 175.74 125.915
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 153.966 153.966 167.606 167.606
2 91.6854 91.6854 105.325 105.325
7 79.4948 79.4948 93.1348 93.1348
40 61.9816 61.9816 75.6216 75.6216
69 46.9057 46.9057 60.5457 60.5457
201 46.5731 46.5731 60.2131 60.2131
391 36.8069 36.8069 50.4469 50.4469
750 195.186 36.8069 208.826 50.4469
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 69.4786 69.4786 264.279 264.279
14 68.8632 68.8632 263.663 263.663
37 61.3181 61.3181 256.118 256.118
89 44.3859 44.3859 239.186 239.186
304 39.0958 39.0958 233.896 233.896
512 38.1822 38.1822 232.982 232.982
537 37.991 37.991 232.791 232.791
551 36.6156 36.6156 231.416 231.416
591 10.9669 10.9669 205.767 205.767
750 103.612 10.9669 298.412 205.767
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 117.095 117.095 -16.4952 -16.4952
2 113.075 113.075 -20.5153 -20.5153
3 78.1468 78.1468 -55.4432 -55.4432
29 77.7553 77.7553 -55.8347 -55.8347
46 69.7733 69.7733 -63.8167 -63.8167
56 69.0329 69.0329 -64.5571 -64.5571
71 66.7312 66.7312 -66.8588 -66.8588
76 55.8519 55.8519 -77.7381 -77.7381
82 55.4316 55.4316 -78.1584 -78.1584
90 51.0592 51.0592 -82.5308 -82.5308
102 50.9255 50.9255 -82.6645 -82.6645
156 44.5189 44.5189 -89.0711 -89.0711
230 29.1064 29.1064 -104.484 -104.484
275 26.839 26.839 -106.751 -106.751
412 24.7852 24.7852 -108.805 -108.805
670 23.4209 23.4209 -110.169 -110.169
750 70.1473 23.4209 -63.4427 -110.169
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 163.892 163.892 318.262 318.262
3 122.809 122.809 277.179 277.179
5 106.483 106.483 260.853 260.853
10 99.1693 99.1693 253.539 253.539
28 87.8073 87.8073 242.177 242.177
31 78.2028 78.2028 232.573 232.573
43 55.9042 55.9042 210.274 210.274
216 47.0267 47.0267 201.397 201.397
440 46.7025 46.7025 201.073 201.073
449 46.2554 46.2554 200.625 200.625
458 33.8855 33.8855 188.255 188.255
567 23.8986 23.8986 178.269 178.269
750 215.336 23.8986 369.706 178.269
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 166.895 166.895 -121.435 -121.435
2 158.373 158.373 -129.957 -129.957
3 113.839 113.839 -174.491 -174.491
11 101.603 101.603 -186.727 -186.727
14 88.1792 88.1792 -200.151 -200.151
19 66.5372 66.5372 -221.793 -221.793
35 52.2856 52.2856 -236.044 -236.044
78 47.7077 47.7077 -240.622 -240.622
81 41.1458 41.1458 -247.184 -247.184
262 38.0616 38.0616 -250.268 -250.268
301 29.332 29.332 -258.998 -258.998
750 50.2352 29.332 -238.095 -258.998
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 148.254 148.254 -389.856 -389.856
2 138.194 138.194 -399.916 -399.916
4 118.84 118.84 -419.27 -419.27
7 111.005 111.005 -427.105 -427.105
8 97.4266 97.4266 -440.683 -440.683
22 51.2937 51.2937 -486.816 -486.816
230 42.6292 42.6292 -495.481 -495.481
414 28.775 28.775 -509.335 -509.335
750 112.801 28.775 -425.309 -509.335
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 163.819 163.819 911.639 911.639
2 133.907 133.907 881.727 881.727
4 128.253 128.253 876.073 876.073
5 84.7685 84.7685 832.589 832.589
21 70.0147 70.0147 817.835 817.835
24 44.0996 44.0996 791.92 791.92
362 41.7279 41.7279 789.548 789.548
412 37.152 37.152 784.972 784.972
468 33.2011 33.2011 781.021 781.021
750 73.3655 33.2011 821.186 781.021
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 139.528 139.528 156.198 156.198
3 121.65 121.65 138.32 138.32
5 86.078 86.078 102.748 102.748
