"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.73281e+07 4.73281e+07 4.73279e+07 4.73279e+07
2 1.87353e+07 1.87353e+07 1.87351e+07 1.87351e+07
3 1.21308e+07 1.21308e+07 1.21306e+07 1.21306e+07
5 1.14762e+07 1.14762e+07 1.1476e+07 1.1476e+07
7 5.13192e+06 5.13192e+06 5.13171e+06 5.13171e+06
20 4.41728e+06 4.41728e+06 4.41707e+06 4.41707e+06
22 2.21394e+06 2.21394e+06 2.21373e+06 2.21373e+06
438 2.10294e+06 2.10294e+06 2.10273e+06 2.10273e+06
504 2.08607e+06 2.08607e+06 2.08586e+06 2.08586e+06
508 1.99447e+06 1.99447e+06 1.99426e+06 1.99426e+06
667 1.6436e+06 1.6436e+06 1.64339e+06 1.64339e+06
1199 1.63902e+06 1.63902e+06 1.63881e+06 1.63881e+06
2150 5.55459e+06 1.63902e+06 5.55438e+06 1.63881e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.62372e+06 5.62372e+06 5.62362e+06 5.62362e+06
16 2.04579e+06 2.04579e+06 2.0457e+06 2.0457e+06
248 1.48237e+06 1.48237e+06 1.48228e+06 1.48228e+06
289 1.2974e+06 1.2974e+06 1.2973e+06 1.2973e+06
685 1.16057e+06 1.16057e+06 1.16048e+06 1.16048e+06
2150 7.24092e+06 1.16057e+06 7.24083e+06 1.16048e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.41395e+07 4.41395e+07 4.41394e+07 4.41394e+07
2 1.55772e+07 1.55772e+07 1.55771e+07 1.55771e+07
5 3.82334e+06 3.82334e+06 3.82325e+06 3.82325e+06
64 1.53243e+06 1.53243e+06 1.53234e+06 1.53234e+06
208 1.18578e+06 1.18578e+06 1.18569e+06 1.18569e+06
219 728148 728148 728060 728060
450 470016 470016 469928 469928
563 395623 395623 395535 395535
914 350382 350382 350294 350294
1166 253406 253406 253318 253318
1563 238191 238191 238103 238103
2150 3.69975e+06 238191 3.69966e+06 238103
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.07603e+07 2.07603e+07 2.07606e+07 2.07606e+07
2 1.71762e+07 1.71762e+07 1.71766e+07 1.71766e+07
4 4.8167e+06 4.8167e+06 4.81702e+06 4.81702e+06
17 2.40844e+06 2.40844e+06 2.40876e+06 2.40876e+06
106 2.23657e+06 2.23657e+06 2.23689e+06 2.23689e+06
127 1.60214e+06 1.60214e+06 1.60246e+06 1.60246e+06
410 1.34379e+06 1.34379e+06 1.34411e+06 1.34411e+06
412 1.30644e+06 1.30644e+06 1.30676e+06 1.30676e+06
415 532930 532930 533250 533250
501 449512 449512 449832 449832
769 292200 292200 292520 292520
927 188017 188017 188337 188337
2150 396877 188017 397197 188337
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.50985e+07 6.50985e+07 6.50984e+07 6.50984e+07
2 1.65737e+07 1.65737e+07 1.65736e+07 1.65736e+07
6 1.59995e+07 1.59995e+07 1.59994e+07 1.59994e+07
8 9.44371e+06 9.44371e+06 9.44361e+06 9.44361e+06
10 9.01892e+06 9.01892e+06 9.01881e+06 9.01881e+06
19 8.25797e+06 8.25797e+06 8.25787e+06 8.25787e+06
38 7.38622e+06 7.38622e+06 7.38612e+06 7.38612e+06
48 7.0643e+06 7.0643e+06 7.0642e+06 7.0642e+06
52 4.50104e+06 4.50104e+06 4.50094e+06 4.50094e+06
166 4.23471e+06 4.23471e+06 4.23461e+06 4.23461e+06
412 3.69706e+06 3.69706e+06 3.69695e+06 3.69695e+06
440 3.39699e+06 3.39699e+06 3.39688e+06 3.39688e+06
649 3.31243e+06 3.31243e+06 3.31233e+06 3.31233e+06
652 2.38726e+06 2.38726e+06 2.38716e+06 2.38716e+06
1240 2.10122e+06 2.10122e+06 2.10112e+06 2.10112e+06
2150 1.33309e+07 2.10122e+06 1.33308e+07 2.10112e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.31252e+07 1.31252e+07 1.31252e+07 1.31252e+07
8 1.11783e+07 1.11783e+07 1.11782e+07 1.11782e+07
9 1.21724e+06 1.21724e+06 1.2172e+06 1.2172e+06
573 716034 716034 715998 715998
622 645196 645196 645161 645161
1050 611914 611914 611878 611878
2150 1.98757e+06 611914 1.98753e+06 611878
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.49871e+06 9.49871e+06 9.49873e+06 9.49873e+06
3 7.66413e+06 7.66413e+06 7.66415e+06 7.66415e+06
7 6.59536e+06 6.59536e+06 6.59538e+06 6.59538e+06
26 5.75249e+06 5.75249e+06 5.75251e+06 5.75251e+06
53 3.36242e+06 3.36242e+06 3.36244e+06 3.36244e+06
71 2.49317e+06 2.49317e+06 2.49319e+06 2.49319e+06
116 1.97293e+06 1.97293e+06 1.97295e+06 1.97295e+06
149 1.576e+06 1.576e+06 1.57602e+06 1.57602e+06
163 1.23743e+06 1.23743e+06 1.23745e+06 1.23745e+06
326 960694 960694 960715 960715
469 883967 883967 883988 883988
560 639525 639525 639546 639546
715 597169 597169 597189 597189
771 472390 472390 472411 472411
998 399297 399297 399317 399317
1309 376967 376967 376988 376988
