"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 413.751 413.751 -48.3388 -48.3388
3 120.773 120.773 -341.317 -341.317
29 80.7824 80.7824 -381.308 -381.308
148 78.7032 78.7032 -383.387 -383.387
187 71.9667 71.9667 -390.123 -390.123
341 60.8541 60.8541 -401.236 -401.236
437 49.2998 49.2998 -412.79 -412.79
472 48.4946 48.4946 -413.595 -413.595
750 283.693 48.4946 -178.397 -413.595
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 270.172 270.172 347.832 347.832
2 184.407 184.407 262.067 262.067
6 133.427 133.427 211.087 211.087
12 82.448 82.448 160.108 160.108
124 76.5493 76.5493 154.209 154.209
182 60.707 60.707 138.367 138.367
446 58.9547 58.9547 136.615 136.615
454 38.5474 38.5474 116.207 116.207
750 114.938 38.5474 192.598 116.207
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66.666 66.666 182.346 182.346
99 62.9556 62.9556 178.636 178.636
474 56.3173 56.3173 171.997 171.997
680 49.1483 49.1483 164.828 164.828
750 203.178 49.1483 318.858 164.828
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 573.759 573.759 570.049 570.049
2 189.333 189.333 185.623 185.623
3 159.741 159.741 156.031 156.031
15 119.243 119.243 115.533 115.533
66 111.091 111.091 107.381 107.381
77 77.448 77.448 73.738 73.738
234 65.4029 65.4029 61.6929 61.6929
408 63.7079 63.7079 59.9979 59.9979
486 44.5095 44.5095 40.7995 40.7995
750 486.59 44.5095 482.88 40.7995
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.7799 86.7799 218.96 218.96
41 72.7545 72.7545 204.934 204.934
221 42.505 42.505 174.685 174.685
750 113.016 42.505 245.196 174.685
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 298.7 298.7 -286.03 -286.03
6 133.412 133.412 -451.318 -451.318
10 119.051 119.051 -465.679 -465.679
34 93.3825 93.3825 -491.347 -491.347
51 73.5773 73.5773 -511.153 -511.153
284 72.4792 72.4792 -512.251 -512.251
394 69.4521 69.4521 -515.278 -515.278
417 62.5711 62.5711 -522.159 -522.159
468 51.5524 51.5524 -533.178 -533.178
583 48.1488 48.1488 -536.581 -536.581
642 32.3012 32.3012 -552.429 -552.429
750 186.693 32.3012 -398.037 -552.429
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 276.603 276.603 240.063 240.063
4 122.743 122.743 86.2029 86.2029
11 71.2729 71.2729 34.7329 34.7329
28 60.3426 60.3426 23.8026 23.8026
57 49.676 49.676 13.136 13.136
102 47.4274 47.4274 10.8874 10.8874
176 43.7079 43.7079 7.16792 7.16792
369 42.4243 42.4243 5.88433 5.88433
410 37.5983 37.5983 1.0583 1.0583
418 34.9148 34.9148 -1.62525 -1.62525
470 29.8369 29.8369 -6.70308 -6.70308
610 25.5903 25.5903 -10.9497 -10.9497
750 65.5958 25.5903 29.0558 -10.9497
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 748.645 748.645 1748.64 1748.64
2 145.099 145.099 1145.1 1145.1
6 86.6179 86.6179 1086.62 1086.62
8 54.3921 54.3921 1054.39 1054.39
67 48.0709 48.0709 1048.07 1048.07
524 47.6035 47.6035 1047.6 1047.6
695 23.36 23.36 1023.36 1023.36
750 360.482 23.36 1360.48 1023.36
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 211.371 211.371 257.981 257.981
2 172.957 172.957 219.567 219.567
4 149.511 149.511 196.121 196.121
15 114.936 114.936 161.546 161.546
20 113.29 113.29 159.9 159.9
43 95.0975 95.0975 141.707 141.707
62 63.8718 63.8718 110.482 110.482
243 60.4722 60.4722 107.082 107.082
313 57.1647 57.1647 103.775 103.775
363 53.2472 53.2472 99.8572 99.8572
509 52.2466 52.2466 98.8566 98.8566
672 37.3662 37.3662 83.9762 83.9762
750 83.573 37.3662 130.183 83.9762
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 297.514 297.514 33.2043 33.2043
3 215.1 215.1 -49.2102 -49.2102
6 157.467 157.467 -106.843 -106.843
10 89.7015 89.7015 -174.609 -174.609
56 81.4662 81.4662 -182.844 -182.844
64 80.8198 80.8198 -183.49 -183.49
373 67.3867 67.3867 -196.923 -196.923
402 37.8406 37.8406 -226.469 -226.469
750 405.38 37.8406 141.07 -226.469
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 569.001 569.001 641.731 641.731
2 243.761 243.761 316.491 316.491
5 234.622 234.622 307.352 307.352
8 122.075 122.075 194.805 194.805
44 91.6317 91.6317 164.362 164.362
77 72.6446 72.6446 145.375 145.375
164 64.1886 64.1886 136.919 136.919
340 51.0011 51.0011 123.731 123.731
