"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.53182e+06 1.53182e+06 1.53185e+06 1.53185e+06
3 1.10617e+06 1.10617e+06 1.1062e+06 1.1062e+06
9 1.0345e+06 1.0345e+06 1.03454e+06 1.03454e+06
11 902429 902429 902465 902465
34 620803 620803 620839 620839
122 616155 616155 616191 616191
142 584062 584062 584098 584098
408 582626 582626 582662 582662
527 580474 580474 580510 580510
573 574152 574152 574187 574187
638 543008 543008 543044 543044
988 540511 540511 540547 540547
1128 539982 539982 540018 540018
1173 532222 532222 532258 532258
1174 524582 524582 524618 524618
1337 522230 522230 522266 522266
1495 514635 514635 514670 514670
1926 509868 509868 509904 509904
2054 508656 508656 508692 508692
2150 1.35984e+06 508656 1.35987e+06 508692
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.13647e+06 1.13647e+06 1.1365e+06 1.1365e+06
2 679556 679556 679588 679588
9 295184 295184 295215 295215
220 235588 235588 235619 235619
591 235361 235361 235392 235392
661 234523 234523 234555 234555
753 204317 204317 204348 204348
1182 202725 202725 202756 202756
1473 200694 200694 200725 200725
1614 199683 199683 199715 199715
1788 199205 199205 199236 199236
1840 198583 198583 198615 198615
1954 198386 198386 198418 198418
2035 196691 196691 196722 196722
2150 1.09203e+06 196691 1.09206e+06 196722
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 679265 679265 678265 678265
4 512663 512663 511663 511663
8 333706 333706 332706 332706
68 209377 209377 208377 208377
274 139646 139646 138646 138646
422 130736 130736 129736 129736
467 115416 115416 114416 114416
542 76759.3 76759.3 75759.3 75759.3
729 76574.3 76574.3 75574.3 75574.3
796 73655.7 73655.7 72655.7 72655.7
813 70505.3 70505.3 69505.3 69505.3
936 68952.1 68952.1 67952.1 67952.1
1107 68797.1 68797.1 67797.1 67797.1
1121 64797.1 64797.1 63797.1 63797.1
1366 64464.5 64464.5 63464.5 63464.5
1534 64328.8 64328.8 63328.8 63328.8
1577 63696.8 63696.8 62696.8 62696.8
1622 62340.4 62340.4 61340.4 61340.4
1890 61860.1 61860.1 60860.1 60860.1
1895 61348.1 61348.1 60348.1 60348.1
2150 328795 61348.1 327795 60348.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.1329e+06 1.1329e+06 1.13303e+06 1.13303e+06
3 832539 832539 832671 832671
