"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 152.526 152.526 245.466 245.466
3 118.168 118.168 211.108 211.108
10 64.522 64.522 157.462 157.462
11 64.0846 64.0846 157.025 157.025
26 52.0736 52.0736 145.014 145.014
41 32.693 32.693 125.633 125.633
74 27.3471 27.3471 120.287 120.287
80 13.942 13.942 106.882 106.882
89 7.12522 7.12522 100.065 100.065
462 3.94567 3.94567 96.8857 96.8857
750 17.3893 3.94567 110.329 96.8857
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.4187 79.4187 114.769 114.769
134 28.885 28.885 64.235 64.235
254 13.7505 13.7505 49.1005 49.1005
433 5.70195 5.70195 41.0519 41.0519
750 193.408 5.70195 228.758 41.0519
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1325.32 1325.32 1329.14 1329.14
2 882.389 882.389 886.209 886.209
4 627.974 627.974 631.794 631.794
5 151.751 151.751 155.571 155.571
7 62.7913 62.7913 66.6113 66.6113
8 47.9649 47.9649 51.7849 51.7849
15 32.855 32.855 36.675 36.675
115 29.3967 29.3967 33.2167 33.2167
134 20.2694 20.2694 24.0894 24.0894
373 10.4716 10.4716 14.2916 14.2916
750 492.715 10.4716 496.535 14.2916
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 398.651 398.651 420.401 420.401
9 284.202 284.202 305.952 305.952
22 283.952 283.952 305.702 305.702
23 209.026 209.026 230.776 230.776
42 62.6272 62.6272 84.3772 84.3772
229 37.2433 37.2433 58.9933 58.9933
340 20.6478 20.6478 42.3978 42.3978
750 63.9022 20.6478 85.6522 42.3978
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 174.88 174.88 239.67 239.67
3 133.243 133.243 198.033 198.033
11 116.188 116.188 180.978 180.978
14 47.598 47.598 112.388 112.388
59 38.9705 38.9705 103.761 103.761
69 34.263 34.263 99.053 99.053
75 19.8683 19.8683 84.6583 84.6583
105 15.4586 15.4586 80.2486 80.2486
159 13.6278 13.6278 78.4178 78.4178
196 12.0662 12.0662 76.8562 76.8562
238 10.5797 10.5797 75.3697 75.3697
401 8.26927 8.26927 73.0593 73.0593
427 7.26257 7.26257 72.0526 72.0526
502 4.9799 4.9799 69.7699 69.7699
528 4.51269 4.51269 69.3027 69.3027
622 0.914171 0.914171 65.7042 65.7042
750 56.9956 0.914171 121.786 65.7042
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 331.5 331.5 385.57 385.57
4 230.868 230.868 284.938 284.938
15 147.49 147.49 201.56 201.56
23 84.3777 84.3777 138.448 138.448
38 63.7948 63.7948 117.865 117.865
50 40.6394 40.6394 94.7094 94.7094
407 18.8316 18.8316 72.9016 72.9016
750 144.768 18.8316 198.838 72.9016
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 668.104 668.104 576.584 576.584
2 336.789 336.789 245.269 245.269
4 248.985 248.985 157.465 157.465
6 223.52 223.52 132 132
16 61.5105 61.5105 -30.0095 -30.0095
48 27.175 27.175 -64.345 -64.345
50 1753.35 27.175 1661.83 -64.345
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1862.03 1862.03 1884.66 1884.66
2 543.772 543.772 566.402 566.402
5 460.975 460.975 483.605 483.605
6 449.168 449.168 471.798 471.798
10 330.747 330.747 353.377 353.377
12 256.386 256.386 279.016 279.016
15 226.942 226.942 249.572 249.572
19 210.453 210.453 233.083 233.083
21 175.365 175.365 197.995 197.995
23 132.657 132.657 155.287 155.287
29 127.387 127.387 150.017 150.017
36 41.9267 41.9267 64.5567 64.5567
82 20.4017 20.4017 43.0317 43.0317
589 15.807 15.807 38.437 38.437
632 10.3615 10.3615 32.9915 32.9915
750 591.315 10.3615 613.945 32.9915
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 275.03 275.03 290.57 290.57
3 55.016 55.016 70.556 70.556
27 17.8755 17.8755 33.4155 33.4155
446 17.4908 17.4908 33.0308 33.0308
453 9.64651 9.64651 25.1865 25.1865
634 7.94187 7.94187 23.4819 23.4819
710 6.44307 6.44307 21.9831 21.9831
750 131.259 6.44307 146.799 21.9831
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 309.12 309.12 -67.3903 -67.3903
2 106.959 106.959 -269.551 -269.551
3 67.8565 67.8565 -308.653 -308.653
7 24.1221 24.1221 -352.388 -352.388
50 127.048 24.1221 -249.462 -352.388
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1220.5 1220.5 1616.54 1616.54
2 183.23 183.23 579.27 579.27
5 151.089 151.089 547.129 547.129
15 123.852 123.852 519.892 519.892
28 90.2166 90.2166 486.257 486.257
32 68.8418 68.8418 464.882 464.882
147 42.8179 42.8179 438.858 438.858
164 40.0552 40.0552 436.095 436.095
400 13.1842 13.1842 409.224 409.224
442 9.76176 9.76176 405.802 405.802
750 112.157 9.76176 508.197 405.802
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 857.977 857.977 986.087 986.087
3 263.846 263.846 391.956 391.956
4 104.538 104.538 232.648 232.648
29 64.8568 64.8568 192.967 192.967
51 42.3882 42.3882 170.498 170.498
63 40.1919 40.1919 168.302 168.302
77 28.5958 28.5958 156.706 156.706
93 16.7063 16.7063 144.816 144.816
258 13.3497 13.3497 141.46 141.46
454 6.0372 6.0372 134.147 134.147
513 5.1586 5.1586 133.269 133.269
750 1696.16 5.1586 1824.27 133.269
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1262.85 1262.85 970.5 970.5
2 348.879 348.879 56.5287 56.5287
7 230.569 230.569 -61.7806 -61.7806
8 148.595 148.595 -143.755 -143.755
10 91.3267 91.3267 -201.023 -201.023
43 49.2607 49.2607 -243.089 -243.089
50 328.69 49.2607 36.34 -243.089
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 230.648 230.648 541.658 541.658
3 44.8778 44.8778 355.888 355.888
90 39.7743 39.7743 350.784 350.784
99 30.7713 30.7713 341.781 341.781
166 25.768 25.768 336.778 336.778
417 25.6682 25.6682 336.678 336.678
444 20.2305 20.2305 331.241 331.241
463 18.9628 18.9628 329.973 329.973
494 14.1901 14.1901 325.2 325.2
533 13.8141 13.8141 324.824 324.824
623 12.1722 12.1722 323.182 323.182
750 47.6492 12.1722 358.659 323.182
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 273.608 273.608 -531.572 -531.572
7 254.683 254.683 -550.497 -550.497
19 96.7483 96.7483 -708.432 -708.432
24 46.3069 46.3069 -758.873 -758.873
41 31.1445 31.1445 -774.035 -774.035
50 3294.65 31.1445 2489.47 -774.035
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 528.63 528.63 557.89 557.89
3 155.362 155.362 184.622 184.622
13 82.7975 82.7975 112.057 112.057
14 61.42 61.42 90.68 90.68
19 59.0687 59.0687 88.3287 88.3287
37 3.29186 3.29186 32.5519 32.5519
439 3.0284 3.0284 32.2884 32.2884
750 94.3844 3.0284 123.644 32.2884
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3029.06 3029.06 2918 2918
4 1209.19 1209.19 1098.13 1098.13
5 526.44 526.44 415.38 415.38
16 99.3818 99.3818 -11.6782 -11.6782
50 3820.38 99.3818 3709.32 -11.6782
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1081.78 1081.78 1124.97 1124.97
4 601.524 601.524 644.714 644.714
5 319.253 319.253 362.443 362.443
8 65.0023 65.0023 108.192 108.192
32 29.2427 29.2427 72.4327 72.4327
403 28.9685 28.9685 72.1585 72.1585
428 23.2794 23.2794 66.4694 66.4694
499 14.048 14.048 57.238 57.238
750 214.052 14.048 257.242 57.238
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 466.1 466.1 1466.1 1466.1
3 239.847 239.847 1239.85 1239.85
15 235.105 235.105 1235.1 1235.1
22 217.084 217.084 1217.08 1217.08
