"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.7206 10.7206 17.5906 17.5906
3 9.03251 9.03251 15.9025 15.9025
4 7.05236 7.05236 13.9224 13.9224
38 3.73158 3.73158 10.6016 10.6016
471 3.22075 3.22075 10.0908 10.0908
500 2.26471 2.26471 9.13471 9.13471
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.0075 15.0075 15.0175 15.0175
6 13.1115 13.1115 13.1215 13.1215
9 7.0984 7.0984 7.1084 7.1084
10 4.59895 4.59895 4.60895 4.60895
113 4.1354 4.1354 4.1454 4.1454
148 3.24734 3.24734 3.25734 3.25734
414 2.74 2.74 2.75 2.75
466 1.23406 1.23406 1.24406 1.24406
500 21.6146 1.23406 21.6246 1.24406
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.675 15.675 -114.935 -114.935
2 13.8166 13.8166 -116.793 -116.793
10 5.88995 5.88995 -124.72 -124.72
11 4.28395 4.28395 -126.326 -126.326
230 3.8401 3.8401 -126.77 -126.77
500 12.8402 3.8401 -117.77 -126.77
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 14.4593 14.4593 -208.661 -208.661
2 13.3496 13.3496 -209.77 -209.77
14 8.10416 8.10416 -215.016 -215.016
22 4.96935 4.96935 -218.151 -218.151
55 4.22908 4.22908 -218.891 -218.891
181 3.1537 3.1537 -219.966 -219.966
500 11.3086 3.1537 -211.811 -219.966
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.2267 10.2267 -34.2033 -34.2033
5 5.11381 5.11381 -39.3162 -39.3162
45 4.23545 4.23545 -40.1945 -40.1945
212 2.85807 2.85807 -41.5719 -41.5719
500 35.2965 2.85807 -9.13349 -41.5719
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26.1776 26.1776 111.568 111.568
2 10.3221 10.3221 95.7121 95.7121
6 10.3126 10.3126 95.7026 95.7026
8 4.07814 4.07814 89.4681 89.4681
72 2.61258 2.61258 88.0026 88.0026
194 1.86542 1.86542 87.2554 87.2554
500 587.225 1.86542 672.615 87.2554
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.8479 12.8479 -974.442 -974.442
2 6.41879 6.41879 -980.871 -980.871
3 5.01149 5.01149 -982.279 -982.279
27 1.19817 1.19817 -986.092 -986.092
500 20.7763 1.19817 -966.514 -986.092
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21.8929 21.8929 -129.867 -129.867
3 4.85612 4.85612 -146.904 -146.904
36 3.19654 3.19654 -148.563 -148.563
354 1.83763 1.83763 -149.922 -149.922
500 437.222 1.83763 285.462 -149.922
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 29.2223 29.2223 96.0223 96.0223
2 19.0464 19.0464 85.8464 85.8464
3 10.0503 10.0503 76.8503 76.8503
17 7.08073 7.08073 73.8807 73.8807
18 6.44028 6.44028 73.2403 73.2403
29 6.3692 6.3692 73.1692 73.1692
46 5.92345 5.92345 72.7234 72.7234
57 3.99758 3.99758 70.7976 70.7976
303 3.53565 3.53565 70.3356 70.3356
499 2.51026 2.51026 69.3103 69.3103
500 6.91599 2.51026 73.716 69.3103
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.674 19.674 115.924 115.924
3 18.4462 18.4462 114.696 114.696
8 8.21011 8.21011 104.46 104.46
24 7.36166 7.36166 103.612 103.612
25 6.38069 6.38069 102.631 102.631
69 6.23227 6.23227 102.482 102.482
123 1.4958 1.4958 97.7458 97.7458
500 128.55 1.4958 224.8 97.7458
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.77941 4.77941 151.499 151.499
38 2.95475 2.95475 149.675 149.675
488 2.04008 2.04008 148.76 148.76
500 31.8848 2.04008 178.605 148.76
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.88293 7.88293 -584.097 -584.097
11 4.73842 4.73842 -587.242 -587.242
18 3.8994 3.8994 -588.081 -588.081
126 3.86252 3.86252 -588.117 -588.117
174 3.18185 3.18185 -588.798 -588.798
412 2.9325 2.9325 -589.047 -589.047
500 21.4834 2.9325 -570.497 -589.047
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.9178 15.9178 90.2078 90.2078
2 6.24307 6.24307 80.5331 80.5331
6 5.99106 5.99106 80.2811 80.2811
57 5.96565 5.96565 80.2557 80.2557
167 2.45816 2.45816 76.7482 76.7482
500 15.0207 2.45816 89.3107 76.7482
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.4181 16.4181 12.9281 12.9281
5 11.0209 11.0209 7.53095 7.53095
9 5.08001 5.08001 1.59001 1.59001
48 3.55026 3.55026 0.0602617 0.0602617
59 3.18648 3.18648 -0.303519 -0.303519
361 2.35519 2.35519 -1.13481 -1.13481
500 31.6663 2.35519 28.1763 -1.13481
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.2642 13.2642 0.434237 0.434237
16 10.0341 10.0341 -2.79589 -2.79589
28 5.56117 5.56117 -7.26883 -7.26883
105 4.74098 4.74098 -8.08902 -8.08902
