"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.78717e+06 2.78717e+06 2.78696e+06 2.78696e+06
4 212121 212121 211911 211911
58 22073.7 22073.7 21863.8 21863.8
123 6489 6489 6279.12 6279.12
500 3.35601e+06 6489 3.3558e+06 6279.12
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.39126e+06 7.39126e+06 7.39117e+06 7.39117e+06
2 1.97257e+06 1.97257e+06 1.97248e+06 1.97248e+06
5 613325 613325 613233 613233
10 465590 465590 465498 465498
12 187131 187131 187039 187039
43 66537.6 66537.6 66445.5 66445.5
80 22791.8 22791.8 22699.7 22699.7
105 3030.21 3030.21 2938.12 2938.12
500 2.87292e+07 3030.21 2.87291e+07 2938.12
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.86631e+06 7.86631e+06 7.86623e+06 7.86623e+06
2 3.6361e+06 3.6361e+06 3.63601e+06 3.63601e+06
5 1.61888e+06 1.61888e+06 1.61879e+06 1.61879e+06
20 1.37199e+06 1.37199e+06 1.3719e+06 1.3719e+06
26 43309.7 43309.7 43221.8 43221.8
72 11417.5 11417.5 11329.6 11329.6
500 2.25683e+07 11417.5 2.25682e+07 11329.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.22892e+07 2.22892e+07 2.22895e+07 2.22895e+07
2 1.63292e+07 1.63292e+07 1.63295e+07 1.63295e+07
3 127469 127469 127789 127789
18 76265.4 76265.4 76585.6 76585.6
500 2.3596e+07 76265.4 2.35963e+07 76585.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.10923e+07 2.10923e+07 2.10922e+07 2.10922e+07
2 2.25707e+06 2.25707e+06 2.25697e+06 2.25697e+06
4 935980 935980 935876 935876
19 275160 275160 275056 275056
36 190121 190121 190017 190017
38 94991.3 94991.3 94887.1 94887.1
72 56822.8 56822.8 56718.6 56718.6
80 27954.4 27954.4 27850.2 27850.2
217 23849.5 23849.5 23745.3 23745.3
243 23106.1 23106.1 23001.9 23001.9
254 14491.5 14491.5 14387.3 14387.3
500 3.97697e+07 14491.5 3.97696e+07 14387.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.33921e+06 8.33921e+06 8.33918e+06 8.33918e+06
3 1.27392e+06 1.27392e+06 1.27389e+06 1.27389e+06
4 570233 570233 570198 570198
6 453069 453069 453034 453034
7 190059 190059 190024 190024
22 24644.8 24644.8 24609.1 24609.1
500 6.55142e+06 24644.8 6.55139e+06 24609.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.60849e+07 1.60849e+07 1.60849e+07 1.60849e+07
2 1.28261e+06 1.28261e+06 1.28263e+06 1.28263e+06
4 493854 493854 493875 493875
24 318000 318000 318021 318021
48 104030 104030 104051 104051
119 84896.7 84896.7 84917.4 84917.4
121 50246.9 50246.9 50267.6 50267.6
236 43386.2 43386.2 43406.9 43406.9
500 8.02856e+07 43386.2 8.02856e+07 43406.9
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.67544e+06 1.67544e+06 1.67547e+06 1.67547e+06
3 1.47366e+06 1.47366e+06 1.4737e+06 1.4737e+06
14 627606 627606 627644 627644
15 462980 462980 463018 463018
17 210206 210206 210244 210244
163 90436.9 90436.9 90475 90475
245 59765.1 59765.1 59803.2 59803.2
253 25115.3 25115.3 25153.4 25153.4
292 17650.8 17650.8 17688.8 17688.8
359 3051.3 3051.3 3089.37 3089.37
500 2.62845e+07 3051.3 2.62846e+07 3089.37
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 480376 480376 480331 480331
51 25559.3 25559.3 25513.9 25513.9
157 4276.25 4276.25 4230.83 4230.83
500 1.60463e+07 4276.25 1.60462e+07 4230.83
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.49667e+06 1.49667e+06 1.49674e+06 1.49674e+06
10 96318.6 96318.6 96385.5 96385.5
500 1.43453e+09 96318.6 1.43453e+09 96385.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.15834e+06 9.15834e+06 9.1584e+06 9.1584e+06
5 8.31776e+06 8.31776e+06 8.31782e+06 8.31782e+06
7 2.01743e+06 2.01743e+06 2.01749e+06 2.01749e+06
20 365115 365115 365173 365173
34 163463 163463 163521 163521
500 2.36513e+07 163463 2.36514e+07 163521
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.46535e+06 1.46535e+06 1.46555e+06 1.46555e+06
5 479631 479631 479824 479824
17 190907 190907 191101 191101
37 62316.2 62316.2 62509.5 62509.5
500 557617 62316.2 557811 62509.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.6748e+06 1.6748e+06 1.67438e+06 1.67438e+06
2 1.05224e+06 1.05224e+06 1.05182e+06 1.05182e+06
4 345360 345360 344941 344941
17 198019 198019 197600 197600
36 162044 162044 161625 161625
84 145298 145298 144879 144879
109 132610 132610 132191 132191
128 114222 114222 113803 113803
134 85385.2 85385.2 84966.2 84966.2
144 70456.8 70456.8 70037.8 70037.8
166 62723.2 62723.2 62304.2 62304.2
223 40022.5 40022.5 39603.5 39603.5
341 33266.2 33266.2 32847.1 32847.1
500 2.73824e+08 33266.2 2.73824e+08 32847.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.51458e+06 2.51458e+06 2.51499e+06 2.51499e+06
5 250433 250433 250840 250840
7 129370 129370 129777 129777
120 112301 112301 112708 112708
198 35230.5 35230.5 35638.1 35638.1
218 33385.8 33385.8 33793.4 33793.4
338 28634.3 28634.3 29042 29042
385 5967.62 5967.62 6375.23 6375.23
500 333537 5967.62 333945 6375.23
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.16289e+06 7.16289e+06 7.16292e+06 7.16292e+06
3 196976 196976 197005 197005
7 123570 123570 123599 123599
42 80329.6 80329.6 80358.3 80358.3
66 28824.3 28824.3 28853 28853
120 9864.98 9864.98 9893.7 9893.7
500 2.57086e+08 9864.98 2.57086e+08 9893.7
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.87442e+07 3.87442e+07 3.87441e+07 3.87441e+07
2 9.99689e+06 9.99689e+06 9.9968e+06 9.9968e+06
3 1.33839e+06 1.33839e+06 1.3383e+06 1.3383e+06
7 1.03641e+06 1.03641e+06 1.03632e+06 1.03632e+06
39 49052.8 49052.8 48963.6 48963.6
500 6.78272e+06 49052.8 6.78263e+06 48963.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.92778e+07 2.92778e+07 2.92778e+07 2.92778e+07
2 6.05092e+06 6.05092e+06 6.05098e+06 6.05098e+06
4 5.3148e+06 5.3148e+06 5.31485e+06 5.31485e+06
7 821901 821901 821959 821959
12 511567 511567 511626 511626
20 365994 365994 366053 366053
37 352506 352506 352564 352564
46 321652 321652 321710 321710
49 135766 135766 135824 135824
57 25247 25247 25305.3 25305.3
154 19013.9 19013.9 19072.2 19072.2
197 11376.2 11376.2 11434.6 11434.6
415 943.299 943.299 1001.62 1001.62
500 2.8049e+06 943.299 2.80495e+06 1001.62
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.61066e+07 2.61066e+07 2.6107e+07 2.6107e+07
2 1.90012e+07 1.90012e+07 1.90015e+07 1.90015e+07
5 1.48936e+06 1.48936e+06 1.48967e+06 1.48967e+06
10 1.46443e+06 1.46443e+06 1.46475e+06 1.46475e+06
15 641047 641047 641359 641359
19 616603 616603 616915 616915
45 184456 184456 184767 184767
55 4183.55 4183.55 4495.36 4495.36
500 7.71239e+07 4183.55 7.71243e+07 4495.36
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.98592e+06 1.98592e+06 1.98593e+06 1.98593e+06
2 1.2033e+06 1.2033e+06 1.20332e+06 1.20332e+06
5 639452 639452 639467 639467
8 336691 336691 336706 336706
13 97696.4 97696.4 97711.3 97711.3
76 93559.9 93559.9 93574.8 93574.8
98 60205.7 60205.7 60220.6 60220.6
500 1.8373e+07 60205.7 1.8373e+07 60220.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 801155 801155 801093 801093
3 249056 249056 248994 248994
8 107053 107053 106991 106991
12 46166.6 46166.6 46104.4 46104.4
63 33456 33456 33393.8 33393.8
151 9794.9 9794.9 9732.67 9732.67
500 1.26924e+07 9794.9 1.26923e+07 9732.67
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
