"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2508.07 2508.07 2045.98 2045.98
18 1570.43 1570.43 1108.34 1108.34
37 1212.63 1212.63 750.536 750.536
51 935.594 935.594 473.504 473.504
69 934.24 934.24 472.15 472.15
98 920.485 920.485 458.395 458.395
111 765.957 765.957 303.867 303.867
158 760.997 760.997 298.907 298.907
184 732.548 732.548 270.458 270.458
210 729.685 729.685 267.595 267.595
225 606.298 606.298 144.208 144.208
2000 47336.6 606.298 46874.5 144.208
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3471.37 3471.37 3549.03 3549.03
2 1252.85 1252.85 1330.51 1330.51
16 1122.08 1122.08 1199.74 1199.74
54 1027.42 1027.42 1105.08 1105.08
57 1025.84 1025.84 1103.5 1103.5
65 1003.72 1003.72 1081.38 1081.38
71 762.404 762.404 840.064 840.064
79 700.742 700.742 778.402 778.402
132 663.07 663.07 740.73 740.73
185 637.856 637.856 715.516 715.516
213 627.74 627.74 705.4 705.4
215 610.145 610.145 687.805 687.805
220 581.025 581.025 658.685 658.685
339 576.054 576.054 653.714 653.714
2000 85525.5 576.054 85603.2 653.714
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9003.23 9003.23 9118.91 9118.91
2 1940.76 1940.76 2056.44 2056.44
8 1009.61 1009.61 1125.29 1125.29
52 947.159 947.159 1062.84 1062.84
59 846.328 846.328 962.008 962.008
91 676.103 676.103 791.783 791.783
113 475.894 475.894 591.574 591.574
2000 1744.68 475.894 1860.36 591.574
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2066.39 2066.39 2062.68 2062.68
7 912.362 912.362 908.652 908.652
83 865.074 865.074 861.364 861.364
128 717.654 717.654 713.944 713.944
129 617.258 617.258 613.548 613.548
2000 1271.65 617.258 1267.94 613.548
