"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 373.387 373.387 -88.7032 -88.7032
2 300.831 300.831 -161.259 -161.259
10 242.959 242.959 -219.131 -219.131
13 172.462 172.462 -289.628 -289.628
14 167.829 167.829 -294.261 -294.261
22 69.3851 69.3851 -392.705 -392.705
111 39.7735 39.7735 -422.317 -422.317
500 175.837 39.7735 -286.253 -422.317
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 304.932 304.932 382.592 382.592
2 137.96 137.96 215.62 215.62
46 90.7066 90.7066 168.367 168.367
500 290.145 90.7066 367.805 168.367
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8095.67 8095.67 8211.35 8211.35
2 601.159 601.159 716.839 716.839
4 182.174 182.174 297.854 297.854
6 157.284 157.284 272.964 272.964
61 81.6571 81.6571 197.337 197.337
177 71.7312 71.7312 187.411 187.411
500 302562 71.7312 302677 187.411
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3093.69 3093.69 3089.98 3089.98
2 1906.37 1906.37 1902.66 1902.66
3 177.526 177.526 173.816 173.816
77 133.998 133.998 130.288 130.288
83 108.414 108.414 104.704 104.704
98 85.628 85.628 81.918 81.918
500 945.232 85.628 941.522 81.918
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 323.777 323.777 455.957 455.957
2 248.594 248.594 380.774 380.774
5 175.672 175.672 307.852 307.852
16 165.771 165.771 297.951 297.951
24 111.583 111.583 243.763 243.763
53 111.443 111.443 243.623 243.623
62 68.2188 68.2188 200.399 200.399
80 63.5488 63.5488 195.729 195.729
500 216.755 63.5488 348.935 195.729
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5312.38 5312.38 4727.65 4727.65
2 219.248 219.248 -365.482 -365.482
8 138.648 138.648 -446.082 -446.082
11 127.036 127.036 -457.694 -457.694
13 118.354 118.354 -466.376 -466.376
118 112.254 112.254 -472.476 -472.476
173 79.7426 79.7426 -504.987 -504.987
225 76.8815 76.8815 -507.849 -507.849
500 152.709 76.8815 -432.021 -507.849
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 619.158 619.158 582.618 582.618
4 59.7732 59.7732 23.2332 23.2332
439 59.0639 59.0639 22.5239 22.5239
500 263.486 59.0639 226.946 22.5239
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 564.199 564.199 1564.2 1564.2
2 330.624 330.624 1330.62 1330.62
14 304.628 304.628 1304.63 1304.63
15 266.459 266.459 1266.46 1266.46
27 238.273 238.273 1238.27 1238.27
59 187.362 187.362 1187.36 1187.36
61 162.959 162.959 1162.96 1162.96
100 130.609 130.609 1130.61 1130.61
218 127.291 127.291 1127.29 1127.29
500 294049 127.291 295049 1127.29
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 289.257 289.257 335.867 335.867
16 269.723 269.723 316.333 316.333
31 194.521 194.521 241.131 241.131
69 190.026 190.026 236.636 236.636
82 129.534 129.534 176.144 176.144
104 113.355 113.355 159.965 159.965
161 99.8685 99.8685 146.478 146.478
231 95.01 95.01 141.62 141.62
388 88.4392 88.4392 135.049 135.049
488 84.5124 84.5124 131.122 131.122
500 12418.7 84.5124 12465.3 131.122
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 408.196 408.196 143.886 143.886
5 381.541 381.541 117.231 117.231
6 290.106 290.106 25.7963 25.7963
7 175.888 175.888 -88.4219 -88.4219
26 140.99 140.99 -123.32 -123.32
41 105.812 105.812 -158.498 -158.498
54 57.6145 57.6145 -206.696 -206.696
257 47.5161 47.5161 -216.794 -216.794
500 161892 47.5161 161628 -216.794
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1108.67 1108.67 1181.4 1181.4
4 393.214 393.214 465.944 465.944
5 373.779 373.779 446.509 446.509
6 234.085 234.085 306.815 306.815
8 68.3605 68.3605 141.09 141.09
155 55.0182 55.0182 127.748 127.748
293 53.061 53.061 125.791 125.791
500 1742.81 53.061 1815.54 125.791
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 257.636 257.636 394.506 394.506
5 172.046 172.046 308.916 308.916
7 104.837 104.837 241.707 241.707
84 58.5668 58.5668 195.437 195.437
500 4154.84 58.5668 4291.71 195.437
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 424.37 424.37 446.33 446.33
2 355.666 355.666 377.626 377.626
3 211.389 211.389 233.349 233.349
4 93.0449 93.0449 115.005 115.005
149 76.4947 76.4947 98.4547 98.4547
199 68.5517 68.5517 90.5117 90.5117
208 58.9903 58.9903 80.9503 80.9503
245 53.2384 53.2384 75.1984 75.1984
382 51.9738 51.9738 73.9338 73.9338
400 51.5688 51.5688 73.5288 73.5288
411 39.2238 39.2238 61.1838 61.1838
500 830.566 39.2238 852.526 61.1838
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10750.3 10750.3 10729 10729
2 2580.41 2580.41 2559.02 2559.02
3 859.176 859.176 837.786 837.786
4 331.515 331.515 310.125 310.125
12 203.429 203.429 182.039 182.039
52 74.9699 74.9699 53.5799 53.5799
73 72.525 72.525 51.135 51.135
500 166986 72.525 166965 51.135
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 204.826 204.826 722.486 722.486
10 135.036 135.036 652.696 652.696
68 120.27 120.27 637.93 637.93
71 71.8501 71.8501 589.51 589.51
500 465748 71.8501 466265 589.51
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 472.471 472.471 334.921 334.921
3 384.067 384.067 246.517 246.517
15 286.172 286.172 148.622 148.622
16 254.874 254.874 117.324 117.324
25 167.928 167.928 30.3781 30.3781
33 110.454 110.454 -27.0964 -27.0964
35 90.9747 90.9747 -46.5753 -46.5753
86 83.4879 83.4879 -54.0621 -54.0621
187 65.1378 65.1378 -72.4122 -72.4122
500 48166.7 65.1378 48029.2 -72.4122
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 508.602 508.602 407.622 407.622
6 462.906 462.906 361.926 361.926
9 170.364 170.364 69.3839 69.3839
14 164.189 164.189 63.2094 63.2094
65 110.176 110.176 9.19635 9.19635
500 43674.5 110.176 43573.6 9.19635
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1635.19 1635.19 1667.53 1667.53
3 1535.68 1535.68 1568.02 1568.02
5 402.707 402.707 435.047 435.047
6 252.939 252.939 285.279 285.279
13 164.552 164.552 196.892 196.892
23 125.952 125.952 158.292 158.292
67 119.384 119.384 151.724 151.724
79 113.56 113.56 145.9 145.9
104 109.346 109.346 141.686 141.686
125 92.7121 92.7121 125.052 125.052
187 61.4106 61.4106 93.7506 93.7506
500 28104.5 61.4106 28136.8 93.7506
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
