"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.73224e+06 1.73224e+06 1.73228e+06 1.73228e+06
3 1.11805e+06 1.11805e+06 1.11809e+06 1.11809e+06
16 1.11242e+06 1.11242e+06 1.11246e+06 1.11246e+06
29 1.06877e+06 1.06877e+06 1.06881e+06 1.06881e+06
32 600433 600433 600469 600469
85 578624 578624 578660 578660
2000 4.70135e+06 578624 4.70139e+06 578660
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.11548e+06 1.11548e+06 1.11551e+06 1.11551e+06
3 585537 585537 585569 585569
12 566639 566639 566670 566670
29 506127 506127 506158 506158
35 266206 266206 266238 266238
2000 3.69393e+09 266206 3.69393e+09 266238
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.15629e+06 1.15629e+06 1.15529e+06 1.15529e+06
2 1.10245e+06 1.10245e+06 1.10145e+06 1.10145e+06
3 802318 802318 801318 801318
6 572266 572266 571266 571266
8 536200 536200 535200 535200
17 407244 407244 406244 406244
23 127178 127178 126178 126178
2000 3.0511e+09 127178 3.05109e+09 126178
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.6794e+06 1.6794e+06 1.67953e+06 1.67953e+06
3 1.55197e+06 1.55197e+06 1.55211e+06 1.55211e+06
5 571031 571031 571163 571163
2000 2.23926e+06 571031 2.23939e+06 571163
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 983818 983818 984409 984409
2 581312 581312 581903 581903
4 552432 552432 553023 553023
6 318095 318095 318686 318686
23 153574 153574 154165 154165
83 134561 134561 135151 135151
100 65726.1 65726.1 66317 66317
114 64385.7 64385.7 64976.5 64976.5
173 62163.7 62163.7 62754.5 62754.5
192 57380.5 57380.5 57971.3 57971.3
2000 9.8088e+08 57380.5 9.8088e+08 57971.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.07567e+06 1.07567e+06 1.0757e+06 1.0757e+06
6 991320 991320 991351 991351
17 636092 636092 636123 636123
21 579048 579048 579079 579079
23 526197 526197 526228 526228
38 345557 345557 345588 345588
2000 2.66544e+07 345557 2.66544e+07 345588
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.22329e+06 1.22329e+06 1.22314e+06 1.22314e+06
2 839151 839151 839006 839006
3 685984 685984 685839 685839
4 544636 544636 544492 544492
5 367252 367252 367108 367108
8 184831 184831 184687 184687
31 122550 122550 122405 122405
130 118074 118074 117929 117929
158 113028 113028 112884 112884
209 110683 110683 110539 110539
2000 5.61555e+07 110683 5.61553e+07 110539
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.22445e+06 1.22445e+06 1.22435e+06 1.22435e+06
2 401319 401319 401223 401223
51 261814 261814 261717 261717
2000 3.48725e+07 261814 3.48724e+07 261717
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 502295 502295 503295 503295
2 453926 453926 454926 454926
5 329372 329372 330372 330372
16 272713 272713 273713 273713
94 216519 216519 217519 217519
106 204830 204830 205830 205830
109 103814 103814 104814 104814
2000 4.8858e+07 103814 4.8859e+07 104814
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.88595e+06 1.88595e+06 1.88579e+06 1.88579e+06
2 1.11415e+06 1.11415e+06 1.11399e+06 1.11399e+06
7 658205 658205 658050 658050
15 587129 587129 586975 586975
16 311761 311761 311606 311606
2000 1.79821e+06 311761 1.79806e+06 311606
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.96139e+06 1.96139e+06 1.96143e+06 1.96143e+06
3 1.84632e+06 1.84632e+06 1.84635e+06 1.84635e+06
5 690040 690040 690079 690079
121 644108 644108 644148 644148
131 642903 642903 642942 642942
184 627959 627959 627998 627998
2000 8.17884e+08 627959 8.17884e+08 627998
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.12078e+06 2.12078e+06 2.12077e+06 2.12077e+06
5 1.95215e+06 1.95215e+06 1.95213e+06 1.95213e+06
6 1.09118e+06 1.09118e+06 1.09117e+06 1.09117e+06
11 572930 572930 572918 572918
2000 4.08714e+07 572930 4.08714e+07 572918
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 566629 566629 566699 566699
6 551930 551930 552001 552001
8 501022 501022 501092 501092
19 489227 489227 489297 489297
20 475908 475908 475978 475978
24 432969 432969 433040 433040
44 374510 374510 374581 374581
54 369599 369599 369669 369669
68 330952 330952 331023 331023
72 324460 324460 324531 324531
74 299154 299154 299225 299225
116 240969 240969 241040 241040
2000 1.83904e+07 240969 1.83904e+07 241040
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 988110 988110 988103 988103
3 855699 855699 855693 855693
4 247904 247904 247898 247898
9 184579 184579 184573 184573
84 125876 125876 125870 125870
160 113872 113872 113866 113866
2000 8.86943e+07 113872 8.86942e+07 113866
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.73666e+06 1.73666e+06 1.73685e+06 1.73685e+06
2 777606 777606 777789 777789
18 522507 522507 522690 522690
20 448676 448676 448860 448860
129 336494 336494 336678 336678
2000 1.77662e+06 336494 1.7768e+06 336678
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 793515 793515 793581 793581
2 772685 772685 772751 772751
3 443926 443926 443992 443992
7 371506 371506 371572 371572
14 312043 312043 312109 312109
19 176935 176935 177000 177000
53 138508 138508 138574 138574
56 38215.5 38215.5 38281.3 38281.3
2000 2.89785e+08 38215.5 2.89786e+08 38281.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.4637e+06 1.4637e+06 1.4637e+06 1.4637e+06
2 1.30523e+06 1.30523e+06 1.30523e+06 1.30523e+06
3 683323 683323 683322 683322
11 580644 580644 580643 580643
17 514881 514881 514880 514880
20 371934 371934 371933 371933
32 350617 350617 350616 350616
72 340596 340596 340595 340595
86 333262 333262 333261 333261
102 280188 280188 280186 280186
2000 6.78637e+07 280188 6.78637e+07 280186
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 812143 812143 811925 811925
5 766427 766427 766209 766209
11 505440 505440 505223 505223
32 428459 428459 428241 428241
45 379752 379752 379534 379534
100 323079 323079 322862 322862
134 314621 314621 314403 314403
190 290108 290108 289890 289890
2000 1.0202e+07 290108 1.02018e+07 289890
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 586779 586779 587011 587011
2 541040 541040 541271 541271
69 539802 539802 540033 540033
81 332134 332134 332365 332365
2000 1.69661e+07 332134 1.69663e+07 332365
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 580301 580301 580332 580332
8 103816 103816 103848 103848
2000 4.61597e+06 103816 4.616e+06 103848
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.59779e+06 1.59779e+06 1.59759e+06 1.59759e+06
2 527793 527793 527591 527591
14 367514 367514 367312 367312
17 362923 362923 362721 362721
31 288412 288412 288210 288210
51 168116 168116 167914 167914
2000 6.33086e+07 168116 6.33084e+07 167914
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 637730 637730 637667 637667
2 570348 570348 570286 570286
12 450339 450339 450276 450276
23 363647 363647 363585 363585
44 156053 156053 155991 155991
2000 4.65675e+08 156053 4.65675e+08 155991
